epoch,ax,ay,az,gx,gy,gz,load,offset,error,force,frame,RF,LF,RH,LH
1670699046729.00,0.454232116,1.3812993507962827,-0.143915447,-13.44,-11.44,201.83,87098,31936,0,227.69890408931028,125,0,0,0,0
1670699046738.00,-0.105383142,1.4208509347545255,-0.284096335,-33.25,-92.64,151.98,86817,31936,0,226.96240436426808,126,0,0,0,0
1670699046745.00,-0.454996213,1.4604081701693898,-0.994277722,-42.03,-101.96,112.86,86817,31936,0,226.96240436426808,127,0,0,0,0
1670699046754.00,0.015393556707097925,1.0599729151938937,-1.494461467,2.58,-29.75,116.05,87080,31936,0,227.65172617098017,128,0,0,1,0
1670699046761.00,0.16578688179889922,0.2195465219933534,-1.394649067,-21.37,72.92,102.4,87080,31936,0,227.65172617098017,129,0,0,1,0
1670699046770.00,-0.15381549,-0.420870008,-0.904841527,-118.84,149.21,57.85,88527,31936,0,231.44430660562816,130,0,0,1,0
1670699046777.00,-0.313412802,-0.421275798,0.3149606135514576,-178.15,175.82,35.51,88527,31936,0,231.44430660562816,131,0,0,1,0
1670699046786.00,-0.103004259,-0.081669908,1.054757069939489,-216.18,177.7,18.54,89406,31936,0,233.74816161741504,132,0,0,1,0
1670699046793.00,-0.012588996,-0.002051296,1.134547500935989,-198.28,181.7,19.09,89406,31936,0,233.74816161741504,133,0,0,1,0
1670699046802.00,0.087833901,-0.03241885,0.49433127336733285,-176.48,212.21,23.31,88771,31936,0,232.0838294985474,134,0,0,1,1
1670699046809.00,0.4182653479578581,-0.202771431,0.3241074137838059,-200.17,223.33,42.85,88771,31936,0,232.0838294985474,135,0,0,1,1
1670699046818.00,0.7487061892545518,-0.143107872,0.2638746963418517,-239.46,199.54,59.03,88362,31936,0,231.01184235426888,136,0,0,0,1
1670699046825.00,0.9291571016173831,0.536573031,0.13363173941910264,-243.45,181.54,68.66,88362,31936,0,231.01184235426888,137,0,0,0,1
1670699046834.00,0.9896184881110567,0.9262724479712915,-0.036622935,-223.54,149.79,69.79,88977,31936,0,232.62375456388085,138,0,0,0,1
1670699046841.00,0.8900904066881712,1.405991358598703,-0.286890849,-213.08,106.84,68.3,88977,31936,0,232.62375456388085,139,0,0,0,1
1670699046850.00,-0.079427431,1.8157303698448408,-0.707173493,-181.85,-61.42,41.17,90970,31936,0,237.8473985212088,140,0,0,0,1
1670699046857.00,-0.728935542,2.0254895404226607,-0.777472222,-178.88,-93.38,34.92,90970,31936,0,237.8473985212088,141,0,0,0,1
1670699046866.00,-1.368434439,2.0352682410992955,-0.427788172,-183.57,-65.98,31.01,96507,31936,0,252.3598503986421,142,0,0,0,1
