epoch,ax,ay,az,gx,gy,gz,load,offset,error,force,frame,LF,RF,LH,RH,
1670359906925.00,0.7780075740002665,1.6586270577713595,-0.695783551,-286.21,65.31,65.46,7162,14228,0,18.69831303368857,106,0,0,1,1,
1670359906935.00,0.558261186,2.1689359487828956,-0.936493547,-219.35,-18.31,61.87,16717,14228,0,43.95974846,108,0,0,0,1,
1670359906942.00,-0.181493498,2.4992384493580433,0.23281105285499343,-121.94,-53.26,95.96,16717,14228,0,43.95974846,110,0,0,0,1,
1670359906952.00,-0.621256864,0.9895327456768273,0.44213078616584855,56,32.67,94.37,28738,14228,0,75.74077570261936,112,0,0,0,1,
1670359906959.00,-0.751029262,-0.160183703,-0.098533774,164.08,114.08,84.59,28738,14228,0,75.74077570261936,114,0,0,0,1,
1670359906968.00,-1.040810849,-0.319913863,-0.159182107,196.71,174.33,35.14,31355,14228,0,82.65958015222039,116,0,0,0,1,
1670359906975.00,-1.030601468,-0.139660806,-0.679813695,250.83,250.6,-14.14,31355,14228,0,82.65958015222039,118,0,0,0,1,
1670359906985.00,-0.180400612,-0.069427546,-2.130427876,272.1,286.45,-26.05,31062,14228,0,81.88494900826429,120,0,0,0,0,
1670359906992.00,0.2997925146075909,0.1907829622450889,-2.331023597,255.32,286.3,-35.53,31062,14228,0,81.88494900826429,122,1,0,0,0,
1670359907002.00,-1.380021133,-0.549032211,-2.331599125,115.55,126.71,98.29,34331,14228,0,90.52750603759014,124,1,0,0,0,
1670359907009.00,-0.549840449,-0.838875937,-0.732151896,124.15,75.32,138.73,34331,14228,0,90.52750603759014,126,1,0,0,0,
1670359907019.00,0.1503359042583503,-1.788750894,1.8773213141914145,112.79,32.58,101.65,40724,14228,0,107.4292702127141,128,1,0,0,0,
1670359907026.00,1.1005094355682732,-1.728659362,2.946823868350233,184.26,101.41,64.57,40724,14228,0,107.4292702127141,130,1,0,0,0,
1670359907036.00,0.8506815884387134,-1.688603043,1.6963586442439853,285.51,36.71,17.14,37761,14228,0,99.59571362724684,132,1,0,0,0,
1670359907043.00,0.12085355282553922,-1.498582974,0.8559277187208147,286.07,-9.04,21.1,37761,14228,0,99.59571362724684,134,1,0,0,0,
1670359907052.00,-0.258973728,-0.568599559,0.9455324649654688,177.84,20.62,80.06,30648,14228,0,80.79041899598504,136,1,0,0,0,
1670359907059.00,-0.138799411,-0.228652704,1.6551737497126178,125.47,5.96,114.67,30648,14228,0,80.79041899598504,138,1,1,0,0,
1670359907069.00,0.051377364,0.081257983,0.5148519925169055,144.61,-97.21,145.29,20405,14228,0,53.71005446512398,140,1,1,0,0,
1670359907076.00,0.38155748574530685,0.091133013,0.794567178,157.91,-146.54,81.25,20405,14228,0,53.71005446512398,142,0,1,0,0,
1670359907086.00,1.2717417872193582,0.12097290677863348,0.17431894286618815,134.93,-181.74,-44.13,13692,14228,0,35.96227675393876,144,0,1,0,0,
1670359907093.00,1.221930884303636,-0.429221829,0.6141066773517476,159.45,-66.75,-100.96,13692,14228,0,35.96227675393876,146,0,1,0,0,
1670359907102.00,2.642124976,-1.329450643,0.21392958835612988,131.62,-81.27,-113.01,9171,14228,0,24.00969176,148,0,1,0,0,
1670359907109.00,1.5623236380085461,-0.899712779,0.513786719,121.86,22.2,-121.21,9171,14228,0,24.00969176,150,0,1,0,0,
1670359907119.00,0.6525257270685557,-1.300007117,1.3636769300683584,119.34,-1.74,-121.98,1848,14228,0,4.649200750471191,152,0,1,0,0,
1670359907126.00,0.072729504,-1.840332088,1.1935988021235049,84.89,-18.86,-134.3,1848,14228,0,4.649200750471191,154,0,1,0,0,
1670359907136.00,-0.227067092,-1.590685579,0.9035505140040065,-77.46,0.11,-139.72,-2205,14228,0,-6.066089442,156,0,1,0,0,
1670359907143.00,-0.286866206,-1.281064858,0.643529811,-100,-7.32,-147.77,-2205,14228,0,-6.066089442,158,0,1,0,0,
1670359907152.00,-0.616669929,-0.151466612,-0.456465904,-93.2,13.06,-171.39,-4626,14228,0,-12.4667106,160,0,0,0,0,
1670359907159.00,-0.496480214,0.13811288566765612,-0.736439378,-98.45,31.1,-150.8,-4626,14228,0,-12.4667106,162,0,0,0,0,
1670359907169.00,-0.046298837,0.7176775162865978,-0.666393289,-150.34,69.95,-100.32,-5861,14228,0,-15.73179409,164,0,0,0,0,
1670359907176.00,0.17387256914701527,0.5672311032637691,-0.406330097,-177.8,41.62,-79.4,-5861,14228,0,-15.73179409,166,0,0,0,0,
1670359907186.00,-0.005967573,0.5867772811248403,-0.576252022,-149.53,-49.75,-87.79,-5958,14228,0,-15.98824194,168,0,0,0,0,
